Name,Course,Hours,LGrade,Semester
CS Orientation,CS100,1,A-,1
LAS Orientation,LAS101,1,A,1
Intro to CS Honors,CS196,1,A+,1
Intro to CS,CS125,4,A+,1
Calc II,MATH231,4,A,1
Statistical Analysis,STAT200,3,A,1
Intro to Research,PURE,1,A,2
Calc III,MATH241H,4,A-,2
Discrete Structures,CS173,3,A,2
Data Structures,CS225,4,A,2
